-8.05050,-8.39898,-8.77892,-9.19476,-9.65184,-10.15658,-10.71682,-11.34220,-12.04473,-12.83955,-13.74599,-14.78917,-16.00227,-17.43004,-19.13424,-21.20239,-23.76255,-27.00902,-31.24962,-36.99701,-45.15304,-57.37787,-76.61510,-105.21626,-125.33978,-105.21626,-76.61510,-57.37787,-45.15304,-36.99701,-31.24962,-27.00902,-23.76255,-21.20239,-19.13424,-17.43004,-16.00227,-14.78917,-13.74599,-12.83955,-12.04473,-11.34220,-10.71682,-10.15658,-9.65184,-9.19476,-8.77892,-8.39898,-8.05050
-7.97526,-8.32048,-8.69687,-9.10883,-9.56164,-10.06166,-10.61666,-11.23619,-11.93216,-12.71955,-13.61752,-14.65095,-15.85272,-17.26715,-18.95541,-21.00424,-23.54047,-26.75660,-30.95756,-36.65124,-44.73105,-56.84163,-75.89907,-104.23293,-124.16838,-104.23293,-75.89907,-56.84163,-44.73105,-36.65124,-30.95756,-26.75660,-23.54047,-21.00424,-18.95541,-17.26715,-15.85272,-14.65095,-13.61752,-12.71955,-11.93216,-11.23619,-10.61666,-10.06166,-9.56164,-9.10883,-8.69687,-8.32048,-7.97526
-7.90002,-8.24199,-8.61483,-9.02290,-9.47143,-9.96674,-10.51650,-11.13019,-11.81959,-12.59955,-13.48905,-14.51274,-15.70317,-17.10425,-18.77659,-20.80608,-23.31839,-26.50418,-30.66551,-36.30548,-44.30906,-56.30539,-75.18304,-103.24960,-122.99698,-103.24960,-75.18304,-56.30539,-44.30906,-36.30548,-30.66551,-26.50418,-23.31839,-20.80608,-18.77659,-17.10425,-15.70317,-14.51274,-13.48905,-12.59955,-11.81959,-11.13019,-10.51650,-9.96674,-9.47143,-9.02290,-8.61483,-8.24199,-7.90002
-7.82478,-8.16349,-8.53278,-8.93697,-9.38123,-9.87181,-10.41634,-11.02419,-11.70703,-12.47956,-13.36059,-14.37452,-15.55361,-16.94135,-18.59776,-20.60793,-23.09631,-26.25176,-30.37346,-35.95971,-43.88707,-55.76915,-74.46701,-102.26627,-121.82558,-102.26627,-74.46701,-55.76915,-43.88707,-35.95971,-30.37346,-26.25176,-23.09631,-20.60793,-18.59776,-16.94135,-15.55361,-14.37452,-13.36059,-12.47956,-11.70703,-11.02419,-10.41634,-9.87181,-9.38123,-8.93697,-8.53278,-8.16349,-7.82478
-7.74954,-8.08500,-8.45073,-8.85103,-9.29102,-9.77689,-10.31619,-10.91819,-11.59446,-12.35956,-13.23212,-14.23630,-15.40406,-16.77845,-18.41894,-20.40978,-22.87423,-25.99934,-30.08141,-35.61394,-43.46507,-55.23290,-73.75098,-101.28294,-120.65418,-101.28294,-73.75098,-55.23290,-43.46507,-35.61394,-30.08141,-25.99934,-22.87423,-20.40978,-18.41894,-16.77845,-15.40406,-14.23630,-13.23212,-12.35956,-11.59446,-10.91819,-10.31619,-9.77689,-9.29102,-8.85103,-8.45073,-8.08500,-7.74954
-7.67430,-8.00650,-8.36869,-8.76510,-9.20082,-9.68197,-10.21603,-10.81219,-11.48189,-12.23957,-13.10365,-14.09809,-15.25450,-16.61556,-18.24011,-20.21162,-22.65215,-25.74692,-29.78935,-35.26818,-43.04308,-54.69666,-73.03495,-100.29961,-119.48278,-100.29961,-73.03495,-54.69666,-43.04308,-35.26818,-29.78935,-25.74692,-22.65215,-20.21162,-18.24011,-16.61556,-15.25450,-14.09809,-13.10365,-12.23957,-11.48189,-10.81219,-10.21603,-9.68197,-9.20082,-8.76510,-8.36869,-8.00650,-7.67430
-7.59907,-7.92801,-8.28664,-8.67917,-9.11062,-9.58705,-10.11587,-10.70619,-11.36932,-12.11957,-12.97519,-13.95987,-15.10495,-16.45266,-18.06129,-20.01347,-22.43007,-25.49450,-29.49730,-34.92241,-42.62109,-54.16042,-72.31892,-99.31628,-118.31138,-99.31628,-72.31892,-54.16042,-42.62109,-34.92241,-29.49730,-25.49450,-22.43007,-20.01347,-18.06129,-16.45266,-15.10495,-13.95987,-12.97519,-12.11957,-11.36932,-10.70619,-10.11587,-9.58705,-9.11062,-8.67917,-8.28664,-7.92801,-7.59907
-7.52383,-7.84951,-8.20460,-8.59324,-9.02041,-9.49213,-10.01572,-10.60018,-11.25676,-11.99957,-12.84672,-13.82165,-14.95540,-16.28976,-17.88246,-19.81532,-22.20799,-25.24207,-29.20525,-34.57664,-42.19910,-53.62418,-71.60289,-98.33296,-117.13998,-98.33296,-71.60289,-53.62418,-42.19910,-34.57664,-29.20525,-25.24207,-22.20799,-19.81532,-17.88246,-16.28976,-14.95540,-13.82165,-12.84672,-11.99957,-11.25676,-10.60018,-10.01572,-9.49213,-9.02041,-8.59324,-8.20460,-7.84951,-7.52383
-7.44859,-7.77102,-8.12255,-8.50730,-8.93021,-9.39721,-9.91556,-10.49418,-11.14419,-11.87958,-12.71825,-13.68344,-14.80584,-16.12686,-17.70364,-19.61716,-21.98591,-24.98965,-28.91320,-34.23088,-41.77711,-53.08794,-70.88686,-97.34963,-115.96858,-97.34963,-70.88686,-53.08794,-41.77711,-34.23088,-28.91320,-24.98965,-21.98591,-19.61716,-17.70364,-16.12686,-14.80584,-13.68344,-12.71825,-11.87958,-11.14419,-10.49418,-9.91556,-9.39721,-8.93021,-8.50730,-8.12255,-7.77102,-7.44859
-7.37335,-7.69252,-8.04050,-8.42137,-8.84000,-9.30229,-9.81540,-10.38818,-11.03162,-11.75958,-12.58978,-13.54522,-14.65629,-15.96397,-17.52481,-19.41901,-21.76383,-24.73723,-28.62114,-33.88511,-41.35512,-52.55169,-70.17083,-96.36630,-114.79718,-96.36630,-70.17083,-52.55169,-41.35512,-33.88511,-28.62114,-24.73723,-21.76383,-19.41901,-17.52481,-15.96397,-14.65629,-13.54522,-12.58978,-11.75958,-11.03162,-10.38818,-9.81540,-9.30229,-8.84000,-8.42137,-8.04050,-7.69252,-7.37335
